Gene name,Gene end (bp),Gene start (bp),Chromosome/scaffold name
ZNF331,53580269,53519527,19
AC011487.2,53608451,53599628,19
AC011487.3,53617254,53616802,19
RN7SL317P,53630041,53629713,19
DPRX,53637009,53632056,19
RNU6-698P,53653791,53653685,19
AC011453.2,53658462,53657400,19
MIR512-1,53666762,53666679,19
MIR512-2,53669254,53669157,19
MIR1323,53672040,53671968,19
MIR498,53674320,53674197,19
MIR520E,53675797,53675711,19
MIR515-1,53679085,53679003,19
MIR519E,53680023,53679940,19
MIR520F,53682245,53682159,19
MIR515-2,53685091,53685009,19
MIR519C,53686555,53686469,19
MIR1283-1,53688567,53688481,19
MIR520A,53690965,53690881,19
MIR526B,53694475,53694393,19
MIR519B,53695293,53695213,19
MIR525,53697617,53697533,19
MIR523,53698471,53698385,19
MIR518F,53700101,53700015,19
MIR520B,53701287,53701227,19
MIR518B,53702819,53702737,19
MIR526A1,53706336,53706252,19
MIR520C,53707539,53707453,19
MIR518C,53708835,53708735,19
MIR524,53711088,53711002,19
MIR517A,53712354,53712268,19
MIR519D,53713434,53713347,19
MIR521-2,53716680,53716594,19
RNU6-803P,53719165,53719064,19
MIR520D,53720182,53720096,19
MIR517B,53721142,53721076,19
MIR520G,53722255,53722166,19
MIR516B2,53725526,53725442,19
MIR526A2,53726986,53726922,19
MIR518E,53729925,53729838,19
MIR518A1,53731090,53731006,19
RNU6-980P,53733083,53732981,19
MIR518D,53734963,53734877,19
MIR516B1,53736934,53736845,19
MIR518A2,53739419,53739333,19
MIR517C,53741407,53741313,19
MIR520H,53742599,53742512,19
RNU6-982P,53745105,53745004,19
MIR521-1,53748722,53748636,19
RNU6-751P,53749951,53749851,19
MIR522,53751297,53751211,19
MIR519A1,53752481,53752397,19
MIR527,53754102,53754018,19
MIR516A1,53756830,53756741,19
MIR1283-2,53758318,53758232,19
RNU6-1041P,53760188,53760087,19
MIR516A2,53761222,53761133,19
AC011453.1,53764199,53761961,19
MIR519A2,53762430,53762344,19
RNU6-165P,53766632,53766534,19
HMGN1P32,53768553,53767971,19
SEPT7P8,53773280,53772506,19
AC008753.1,53775882,53775599,19
AC008753.3,53788169,53787597,19
MIR371A,53787741,53787675,19
MIR371B,53787742,53787677,19
MIR372,53787956,53787890,19
MIR373,53788773,53788705,19
AC008753.2,53789168,53788782,19
NLRP12,53824394,53793603,19
AC008440.1,53869107,53854581,19
AC008440.3,53866140,53864763,19
MYADM,53876437,53866223,19
AC008440.2,53876049,53874626,19
PRKCG,53907652,53879190,19
CACNG7,53943941,53909335,19
CACNG8,53990215,53963040,19
MIR935,53982397,53982307,19
CACNG6,54012669,53992288,19
AC012314.20,54031504,54031412,19
VSTM1,54063953,54040825,19
TARM1,54081365,54069895,19
OSCAR,54102692,54094668,19
NDUFA3,54109257,54102728,19
TFPT,54115675,54107013,19
PRPF31,54131719,54115410,19
AC245052.4,54125343,54119511,19
CNOT3,54155708,54137717,19
LENG1,54159882,54155161,19
TMC4,54173250,54160108,19
MBOAT7,54189882,54173412,19
TSEN34,54194536,54189938,19
AC245052.1,54199971,54199454,19
RPS9,54249003,54200742,19
AC245052.2,54209418,54209092,19
LILRB3,54223506,54216278,19
AC245052.7,54224881,54224523,19
AC245052.3,54230213,54229036,19
LILRA6,54242791,54236592,19
AC245052.6,54247322,54246101,19
LILRB5,54257301,54249431,19
RNU6-1307P,54264053,54263951,19
AC245052.5,54269045,54268005,19
LILRB2,54281184,54273821,19
MIR4752,54282180,54282109,19
AC245884.5,54294366,54294049,19
AC245884.12,54296252,54296194,19
AC245884.7,54298814,54298105,19
AC245884.2,54306026,54301758,19
LILRA5,54313139,54307070,19
AC245884.11,54337168,54308915,19
VN1R104P,54321212,54320204,19
AC245884.6,54331434,54328272,19
LILRA4,54339150,54333185,19
LAIR1,54370558,54351384,19
AC245884.4,54379960,54379489,19
TTYH1,54436900,54415219,19
AC245884.1,54434698,54430654,19
AC245884.9,54434665,54434183,19
AC245884.10,54438346,54438010,19
AC245884.8,54439544,54438665,19
LENG8-AS1,54449045,54444813,19
AC245884.3,54447047,54446830,19
LENG8,54462037,54448887,19
LENG9,54463711,54461796,19
CDC42EP5,54473264,54465026,19
LAIR2,54510687,54497879,19
AC245036.1,54522031,54521723,19
KIR3DX1,54545771,54532692,19
AC245036.2,54552256,54551970,19
LILRA2,54590287,54572920,19
AC245036.5,54590287,54589441,19
LILRA1,54602090,54593582,19
AC245036.4,54608376,54607870,19
LILRB1,54637528,54617158,19
LILRB1-AS1,54638892,54635722,19
LILRB4,54670359,54643889,19
MIR8061,54645383,54645309,19
VN1R105P,54648853,54647944,19
AC245036.3,54652230,54652085,19
AC243962.1,54672591,54671231,19
LILRP1,54700905,54696604,19
AC245128.2,54704235,54703952,19
LILRP2,54713453,54707916,19
KIR3DL3,54736536,54724479,19
AC245128.1,54798285,54724496,19
KIR2DL3,54753052,54738515,19
KIR2DP1,54767371,54755023,19
KIR2DL1,54784322,54769811,19
KIR3DP1,54790318,54786355,19
KIR2DL4,54814517,54803535,19
KIR3DL1,54830778,54816468,19
KIR2DS4,54848569,54832676,19
KIR3DL2,54867207,54850443,19
RNU6-222P,54869045,54868939,19
FCAR,54890472,54874248,19
AC245128.3,54891420,54890673,19
NCR1,54916140,54906150,19
NLRP7,54966312,54923509,19
AC011476.8,54948993,54948864,19
NLRP2,55001142,54953130,19
AC011476.1,54974417,54973817,19
AC011476.3,55048086,55006193,19
GP6,55038264,55013705,19
AC011476.2,55053928,55027593,19
RDH13,55071291,55039108,19
EPS8L1,55087923,55072020,19
PPP1R12C,55117559,55090913,19
AC010327.2,55120383,55119250,19
MIR7975,55123292,55123225,19
TNNT1,55149354,55132794,19
TNNI3,55157773,55151767,19
AC010327.1,55160671,55154757,19
DNAAF3,55166722,55158661,19
AC010327.3,55177540,55158939,19
RF01210,55167274,55167171,19
SYT5,55180441,55171199,19
PTPRH,55209506,55181248,19
AC010327.4,55221616,55216660,19
TMEM86B,55229264,55226639,19
AC010327.5,55230279,55227219,19
PPP6R1,55258995,55229780,19
MIR6804,55230952,55230885,19
MIR6802,55239976,55239912,19
MIR6803,55245250,55245186,19
HSPBP1,55280381,55262231,19
BRSK1,55312533,55282072,19
AC020922.2,55312495,55312029,19
TMEM150B,55334048,55312801,19
AC020922.4,55339283,55338945,19
KMT5C,55348120,55339853,19
COX6B2,55354814,55349306,19
AC020922.1,55359516,55352301,19
FAM71E2,55363260,55354908,19
IL11,55370463,55364389,19
TMEM190,55378244,55376836,19
AC020922.3,55378125,55377579,19
TMEM238,55384598,55379245,19
RPL28,55403250,55385345,19
MIR6805,55388242,55388181,19
UBE2S,55407777,55399745,19
SHISA7,55442863,55428740,19
ISOC2,55462343,55452985,19
C19orf85,55464707,55463002,19
AC008735.5,55467934,55467438,19
AC008735.3,55476482,55475983,19
ZNF628,55484487,55476332,19
NAT14,55487568,55485004,19
SSC5D,55519098,55488404,19
SBK2,55537089,55529733,19
SBK3,55545543,55540656,19
ZNF579,55580845,55576770,19
FIZ1,55601970,55591371,19
ZNF524,55603138,55600022,19
ZNF865,55617269,55605405,19
AC008735.4,55613097,55612490,19
ZNF784,55624601,55620742,19
ZNF580,55643469,55635016,19
ZNF581,55645622,55635459,19
CCDC106,55653161,55641062,19
U2AF2,55674715,55654146,19
AC008735.2,55674715,55661901,19
AC008735.1,55672069,55670632,19
EPN1,55709858,55675226,19
AC010525.1,55694558,55694118,19
AC010525.2,55706172,55705978,19
AC008749.1,55707855,55707550,19
NLRP9,55738402,55708432,19
RN7SKP109,55737600,55737285,19
RFPL4A,55763175,55759014,19
RFPL4AL1,55773179,55769141,19
RFPL4AP1,55778900,55777553,19
NLRP11,55836800,55785397,19
NLRP4,55881854,55836578,19
NLRP13,55932336,55891699,19
NLRP8,55988629,55947832,19
NLRP5,56061813,55999726,19
LINC01864,56078801,56066684,19
ZNF787,56121280,56087366,19
RF00019,56105510,56105416,19
AC024580.2,56127466,56127236,19
ZNF444,56160893,56132599,19
AC024580.1,56150490,56149817,19
GALP,56185775,56176020,19
ZSCAN5B,56197920,56189570,19
ZSCAN5C,56209452,56202301,19
AC011506.1,56217777,56217168,19
ZSCAN5A,56368383,56219670,19
ZSCAN5DP,56247482,56244043,19
EDDM13,56310450,56272769,19
AC006116.5,56312486,56311928,19
AC006116.8,56341287,56314703,19
RF00019,56316636,56316524,19
VN2R17P,56318008,56317177,19
AC006116.1,56322310,56319790,19
AC006116.3,56338648,56338288,19
AC006116.2,56343419,56342432,19
AC006116.6,56348183,56347081,19
AC006116.9,56368053,56354493,19
ZNF542P,56379828,56368099,19
ZNF582,56393545,56375846,19
AC006116.10,56377284,56376704,19
AC006116.7,56377792,56377037,19
SLC25A36P1,56386690,56386226,19
AC006116.4,56388424,56387412,19
ZNF582-AS1,56399172,56393656,19
ZNF583,56436035,56397966,19
ZNF667,56478065,56439325,19
ZNF667-AS1,56500666,56477250,19
AC004696.2,56483977,56480397,19
AC004696.1,56494280,56485923,19
ZNF471,56530221,56507843,19
AC005498.1,56535763,56535299,19
AC005498.2,56538575,56536156,19
ZFP28,56556810,56538948,19
AC005498.3,56567411,56545566,19
ZNF470,56588911,56567511,19
SIGLEC31P,56590281,56589495,19
ZNF71,56626481,56595264,19
SMIM17,56655766,56643145,19
ZNF835,56671783,56661981,19
AC006115.1,56684653,56672268,19
AC007228.1,56673901,56672574,19
OR5AH1P,56761215,56690686,19
AC006115.3,56791197,56707293,19
ZIM2-AS1,56799646,56765344,19
ZIM2,56840729,56774547,19
AC006115.2,56793249,56793048,19
PEG3,56840728,56810077,19
MIMT1,56848556,56840902,19
AC004792.1,56848204,56848068,19
AC044792.1,56922213,56922018,19
RPL7AP69,57066139,57065334,19
AC025588.4,57112027,57111120,19
USP29,57131926,57119138,19
ZIM3,57145202,57134096,19
AC025588.2,57150978,57150513,19
AC025588.3,57151860,57151587,19
DUXA,57167443,57154021,19
AC025588.1,57177921,57175233,19
ZNF264,57222846,57191500,19
AURKC,57235548,57230802,19
ZNF805,57255135,57240685,19
AC005261.3,57262738,57261354,19
ZNF460-AS1,57280334,57267220,19
ZNF460,57293569,57280051,19
AC005261.5,57294469,57293083,19
AC005261.1,57308562,57304305,19
AC005261.4,57317562,57317208,19
ZNF543,57330776,57320509,19
AC005261.2,57352012,57350848,19
ZNF304,57359898,57351307,19
ZNF547,57379565,57363477,19
TRAPPC2B,57365353,57363511,19
AC003002.1,57398584,57363566,19
ZNF548,57402992,57389850,19
AC003002.3,57419994,57389884,19
AC003002.2,57438457,57394183,19
ZNF17,57421939,57411163,19
ZNF749,57445485,57435329,19
AC004076.1,57477536,57437970,19
AC004076.2,57453011,57449689,19
VN1R1,57457142,57454790,19
VN1R107P,57460120,57459912,19
ZNF772,57477570,57466663,19
AC003005.2,57482996,57477649,19
ZNF419,57496097,57487711,19
AC003005.1,57505381,57487718,19
ZNF773,57518404,57499915,19
ZNF549,57557542,57527325,19
ZNF550,57559863,57535257,19
ZNF416,57578927,57571566,19
ZIK1,57593777,57578456,19
ZNF530,57612722,57599885,19
ZNF134,57624723,57614233,19
AC003682.1,57626950,57625032,19
ZNF211,57642779,57630395,19
TPRG1LP1,57665039,57664280,19
ZSCAN4,57679152,57668935,19
ZNF551,57717301,57681969,19
AC003006.1,57753575,57682045,19
ZNF154,57709194,57697367,19
ZNF671,57727624,57719751,19
ZNF776,57758159,57746796,19
ZNF586,57819939,57769655,19
ZNF552,57814913,57803841,19
AC010522.1,57858941,57819719,19
ZNF587B,57846238,57819741,19
FKBP1AP1,57826778,57826461,19
ZNF814,57889074,57848731,19
ZNF587,57865112,57849857,19
AC010326.3,57868172,57867038,19
AC010326.4,57868834,57867885,19
AC010326.2,57916591,57876765,19
ZNF417,57916610,57900296,19
ZNF418,57935393,57921884,19
ZNF256,57947675,57940833,19
AC010326.1,57953759,57953158,19
C19orf18,57974534,57958437,19
ZNF606,58003349,57977053,19
AC008969.1,58011232,58002061,19
VN2R19P,58025926,58012589,19
ZSCAN1,58054631,58034032,19
LETM1P2,58046769,58044592,19
HNRNPDLP4,58049346,58049046,19
ZNF135,58086310,58059239,19
RN7SL526P,58070288,58069970,19
ZSCAN18,58118427,58083838,19
ZNF329,58155110,58126252,19
AC008751.1,58137054,58136713,19
AC008751.2,58167145,58166166,19
ZNF274,58213562,58183029,19
RPS15AP36,58216561,58216180,19
AC020915.4,58225469,58224506,19
ZNF544,58277495,58228594,19
AC020915.5,58315183,58228914,19
AC020915.3,58278808,58257270,19
AC020915.2,58267685,58266635,19
ZNF8,58302805,58278951,19
AC020915.1,58315197,58278966,19
ERVK3-1,58315663,58305319,19
AC010642.2,58326933,58310449,19
AC010642.1,58320489,58319277,19
ZSCAN22,58342332,58327019,19
MIR6806,58334751,58334688,19
A1BG,58353499,58345178,19
AC012313.3,58362751,58346854,19
A1BG-AS1,58355183,58347751,19
AC012313.10,58351720,58350795,19
ZNF497,58362848,58354357,19
AC012313.2,58359603,58357999,19
AC012313.6,58366591,58362585,19
RNA5SP473,58363562,58363438,19
ZNF837,58381060,58367618,19
RPS5,58394806,58386400,19
MIR4754,58386858,58386770,19
RNF225,58397079,58396090,19
LINC02560,58400679,58400221,19
ZNF584,58418327,58401504,19
AC012313.1,58408484,58404238,19
AC012313.4,58419310,58418560,19
AC012313.5,58431148,58428632,19
ZNF132,58440222,58432814,19
AC012313.8,58445849,58440448,19
ZNF324B,58457833,58451604,19
ZNF324,58475436,58467045,19
ZNF446,58481230,58474017,19
AC012313.7,58475763,58475355,19
SLC27A5,58512413,58479512,19
RNU6-1337P,58483843,58483749,19
RN7SL693P,58491075,58490797,19
AC012313.9,58501137,58500505,19
ZBTB45,58538911,58513530,19
RN7SL525P,58543578,58543299,19
TRIM28,58550722,58544091,19
MIR6807,58550376,58550285,19
CHMP2A,58555124,58551566,19
UBE2M,58558960,58555712,19
MZF1-AS1,58574797,58559129,19
MZF1,58573575,58561931,19
CENPBD1P1,58599801,58573503,19
AC016629.3,58581912,58581426,19
AC016629.1,58586356,58586158,19
AC016629.2,58599355,58593896,19
FP565260.4,5017145,5011799,21
FP565260.3,5040666,5022493,21
FP565260.5,5087867,5073458,21
GATD3B,5128425,5079294,21
FP565260.2,5133805,5116343,21
FP565260.1,5154734,5130871,21
FP565260.6,5165472,5155499,21
AC079801.1,5243833,5232668,21
LINC01670,5502542,5499151,21
CU633967.1,5614880,5553637,21
RF00019,5597490,5597390,21
FP236315.2,5705637,5703182,21
FP236315.3,5707160,5705345,21
FP236315.1,5709456,5707004,21
H2BFS,5973383,5972924,21
CU639417.2,6008810,6008604,21
CU639417.1,6036093,6034690,21
LINC01669,6076305,6060340,21
CU639417.3,6082585,6081193,21
CU639417.4,6091407,6084364,21
SIK1B,6123739,6111134,21
RF00019,6223580,6223480,21
CU633906.1,6267317,6228966,21
CU633906.4,6276532,6272135,21
CU633906.3,6312948,6309161,21
CU633906.2,6360415,6318434,21
RF00019,6366055,6365955,21
CBSL,6468040,6444869,21
U2AF1L5,6499261,6484623,21
FP236240.3,6507389,6507017,21
FP236240.2,6520670,6520344,21
FP236240.1,6553955,6550749,21
CRYAA2,6564489,6560714,21
CU638689.4,6670695,6630182,21
CU638689.1,6670667,6667304,21
CU638689.3,6679962,6676178,21
CU638689.2,6716361,6712596,21
CU638689.5,6725209,6721812,21
FP475955.3,6812297,6789592,21
FP475955.1,6897263,6858539,21
MIR8069-1,6859256,6859171,21
FP475955.4,6899280,6897291,21
FP475955.2,6906692,6904884,21
CU634019.6,6997765,6986450,21
CU634019.4,6997737,6994374,21
CU634019.5,7007022,7003248,21
CU634019.2,7025166,7020599,21
CU634019.1,7087229,7048891,21
RF00019,7092716,7092616,21
CU634019.7,7130287,7129103,21
CU634019.3,7137789,7135334,21
CU633904.2,7388799,7385058,21
CU633904.3,7425839,7421442,21
CU633904.1,7469007,7430659,21
RF00019,7474494,7474394,21
FP236241.2,7627528,7626344,21
RF00019,7664011,7663911,21
FP236241.1,7681742,7669397,21
SMIM11B,7777853,7744962,21
FAM243B,7770591,7768884,21
SMIM34B,7793954,7784482,21
KCNE1B,7829926,7816675,21
RF00614,7826225,7826098,21
FP671120.2,8103706,8101251,21
FP671120.1,8227646,8197620,21
MIR6724-1,8205406,8205315,21
RF01518,8205940,8205851,21
MIR3648-1,8208652,8208473,21
MIR3687-1,8208904,8208844,21
FP671120.3,8211306,8210384,21
RNA5-8SN2,8212724,8212572,21
MIR6724-2,8249596,8249505,21
RF01518,8250149,8250060,21
FP671120.4,8255514,8254592,21
RNA5-8SN2,8256933,8256781,21
FP236383.1,8410645,8380665,21
MIR6724-3,8388453,8388362,21
RF01518,8388987,8388898,21
FP236383.2,8394341,8393419,21
RNA5-8SN2,8395759,8395607,21
MIR6724-4,8432621,8432530,21
RF01518,8433174,8433085,21
FP236383.3,8438551,8437629,21
RNA5-8SN2,8439975,8439823,21
RPSAP68,8603984,8603547,21
CR381572.2,8680934,8680538,21
CR381572.1,8701562,8701461,21
LINC01666,8761335,8759077,21
SNX18P10,8801880,8801362,21
MTCO1P1,8846646,8845566,21
CR381670.1,8880976,8857260,21
MIR3648-2,8987178,8986999,21
MIR3687-2,8987430,8987370,21
CR392039.3,9018670,8996496,21
CR392039.2,9027329,9026821,21
CR392039.5,9059060,9053122,21
TEKT4P2,9129752,9068361,21
CR392039.4,9083101,9082601,21
CR392039.1,9088391,9088188,21
CR381653.1,9368775,9325013,21
SNX18P12,9365225,9364467,21
CR381653.2,9376645,9369285,21
AC124864.2,9559155,9558970,21
AC124864.1,9580415,9580024,21
RF00003,9647000,9646825,21
LINC01667,9814009,9781918,21
AC018692.3,9810503,9810381,21
AC018692.2,9810848,9810501,21
RN7SL52P,9902627,9902344,21
RF00156,9908010,9907916,21
AC018692.1,9914846,9913117,21
CR382285.1,10119309,9975017,21
CR382285.2,10029855,10028361,21
CR382287.2,10129029,10122273,21
CR382287.1,10137004,10136419,21
AP003900.1,10342737,10328411,21
EIF3FP1,10331537,10330732,21
VN1R7P,10358620,10357400,21
AF254983.2,10397778,10397644,21
BAGE2,10516431,10413477,21
AF254983.1,10605716,10482738,21
TPTE,10606140,10521553,21
CYCSP41,10576587,10576292,21
SLC25A15P4,10613379,10612455,21
AF254982.1,10640338,10640028,21
IGHV1OR21-1,10649835,10649400,21
AP001464.1,13016692,12999676,21
ANKRD30BP2,13067033,13038160,21
RNU6-614P,13047689,13047583,21
ZNF355P,13113790,13095305,21
AJ239321.1,13120807,13120244,21
AJ239318.1,13314944,13305152,21
FGF7P2,13350648,13349265,21
ANKRD30BP1,13427773,13384249,21
MIR3156-3,13406460,13406384,21
GTF2IP2,13489176,13443373,21
VN1R8P,13477263,13476371,21
SNX19P1,13528579,13525599,21
OR4K11P,13545185,13544210,21
LINC01674,13558461,13546033,21
OR4K12P,13582004,13581060,21
POTED,13641585,13609858,21
RNU6-286P,13621683,13621577,21
MIR3118-1,13644850,13644775,21
AL050303.3,13654356,13654073,21
GRAMD4P1,13667546,13665868,21
CXADRP1,13677116,13676022,21
AL050303.4,13681138,13679300,21
AL050303.2,13705518,13704853,21
MIR8069-2,13724274,13724189,21
FEM1AP1,13764332,13762338,21
AL050303.1,13771740,13769932,21
TERF1P1,13777266,13776086,21
FAM207CP,13793141,13792635,21
GXYLT1P2,13825635,13824406,21
CNN2P7,13827627,13826696,21
ZNF114P1,13839409,13839118,21
CYP4F29P,13848364,13843133,21
SNX18P13,13906488,13905960,21
ANKRD20A11P,13980437,13909574,21
RHOT1P2,13937325,13936993,21
RNU6-954P,13968595,13968489,21
NF1P3,14005279,14000927,21
PPP6R2P1,14014880,14007134,21
FRG2MP,14020725,14019060,21
AP001347.1,14144468,14027421,21
ANKRD20A18P,14069087,14064325,21
RNA5SP488,14070986,14070871,21
RF01518,14076038,14075950,21
LIPI,14210891,14108813,21
ERLEC1P1,14144158,14143581,21
RBM11,14228372,14216130,21
ABCC13,14362754,14236206,21
HSPA13,14383484,14371115,21
SAMSN1,14658821,14485228,21
SAMSN1-AS1,14598303,14582202,21
AF127936.2,14753863,14746762,21
POLR2CP1,14758352,14757588,21
AF127936.1,14763090,14761710,21
GAPDHP16,14775262,14774301,21
AF127577.4,15014430,14818843,21
LINC02246,14918552,14819699,21
RBMX2P1,14829989,14829154,21
AF127577.3,14947096,14918534,21
NRIP1,15065936,14961235,21
AF127577.1,14964233,14961309,21
AF127577.2,14992854,14971470,21
AF127577.6,15052379,15050189,21
AF127577.5,15067837,15067070,21
AF246928.1,15346738,15346652,21
AJ009632.2,15627342,15370500,21
CYCSP42,15490767,15490530,21
AJ009632.1,15496124,15493932,21
RNU6-1326P,15614389,15614283,21
RAD23BP3,15696581,15694300,21
USP25,15880069,15730025,21
RBPMSLP,15745080,15744004,21
MIR99AHG,16645065,15928296,21
RNU6-426P,16035509,16035413,21
VDAC2P1,16095372,16094415,21
RPS26P5,16121644,16121310,21
SNORD74B,16284768,16284696,21
AP001172.1,16308133,16291791,21
AP001172.2,16419080,16417139,21
AP000962.2,16527019,16525919,21
MIR99A,16539169,16539089,21
MIRLET7C,16539911,16539828,21
AP000962.1,16582637,16574718,21
MIR125B2,16590325,16590237,21
RNU1-98P,16719157,16718998,21
AF130359.1,16815688,16754519,21
AF212831.1,16873691,16862875,21
NEK4P1,17211347,17210469,21
AP000457.1,17296596,17296219,21
RNU6-113P,17431647,17431547,21
LINC01549,17449185,17438890,21
RPL39P40,17500824,17500679,21
RN7SL163P,17506728,17506453,21
CXADR,17593579,17512382,21
BTF3L4P1,17518993,17518526,21
RF00019,17527247,17527140,21
RF00019,17576906,17576798,21
BTG3,17612947,17593653,21
BTG3-AS1,17633199,17611744,21
AP000432.1,17660384,17659276,21
AP000432.2,17707455,17705408,21
C21orf91-OT1,17792523,17763315,21
C21orf91,17819386,17788967,21
AL109761.1,17810845,17793488,21
CHODL-AS1,17885608,17835016,21
RPL37P3,17894485,17894193,21
CHODL,18267373,17901263,21
AF130417.1,18114904,18022370,21
TMPRSS15,18485879,18269116,21
AL109763.1,18486599,18477358,21
MIR548XHG,18760003,18561265,21
AF240627.1,18650360,18614431,21
MIR548X,18686164,18686090,21
PPIAP22,18858276,18857779,21
AL157359.3,18917429,18917213,21
AL157359.2,18935859,18917934,21
AL157359.1,18967058,18953264,21
AP000431.2,19047684,19046310,21
AP000431.1,19134423,19130523,21
SLC6A6P1,19246392,19244543,21
AP000855.1,19303739,19301613,21
RNU1-139P,19345312,19345148,21
RPL37P4,19594108,19593841,21
AP000403.1,19621545,19620695,21
AP000568.1,19740150,19739709,21
C1QBPP1,19760128,19759359,21
LINC01683,19899755,19893279,21
LINC02573,20258820,20256752,21
RNU6-772P,20355852,20355748,21
RN7SKP147,20356896,20356653,21
FDPSP6,20388845,20388334,21
KRT18P2,20426206,20424949,21
RPS3AP1,20430762,20430443,21
AP001506.1,20598163,20597953,21
LINC00320,20803216,20742590,21
PPIAP1,20828622,20828127,21
NCAM2,21543329,20998315,21
AP001136.1,21226829,21223295,21
AP001117.1,21615437,21566763,21
AF241725.1,21686329,21655038,21
LINC00317,21737319,21723293,21
LINC01425,21797415,21746973,21
AP000472.1,21975681,21933315,21
LINC01687,22098459,22008944,21
LINC00308,22116528,22098617,21
AP000705.2,22136083,22134698,21
AP000705.1,22154299,22153950,21
RNU4-45P,22205332,22205192,21
AP000561.1,22420819,22209939,21
MAPK6P2,22438349,22436290,21
AP000959.1,22520058,22500604,21
AP000949.1,22884000,22882582,21
AP001116.1,23131206,23065491,21
MIR6130,23079392,23079284,21
ZNF299P,23091831,23090028,21
MSANTD2P1,23103074,23101223,21
RNU2-55P,23281909,23281736,21
D21S2088E,23384861,23361104,21
EEF1A1P1,23390996,23390258,21
TUBAP,23409128,23407658,21
RF00019,23432282,23432181,21
AP000459.1,23490724,23477641,21
AP000474.1,23890541,23888798,21
AP000477.2,23967273,23960905,21
AP000477.1,24050286,24043257,21
AP000470.1,24188342,24155170,21
LINC01689,24321377,24304546,21
LINC01684,24547942,24428740,21
LINC01692,25057746,24840550,21
AP000402.1,24902756,24886676,21
AP000146.1,24992817,24938431,21
AP001342.1,25031529,25031005,21
AP000235.1,25069906,25055535,21
AP000233.2,25103670,25095022,21
RN7SKP236,25101415,25101132,21
AP000233.1,25135247,25127469,21
AP001341.1,25333825,25169431,21
RNA5SP489,25202315,25202207,21
RPL13AP7,25362431,25361821,21
AP001340.1,25372043,25371827,21
LINC00158,25431701,25385820,21
AP000221.1,25518338,25515473,21
MIR155HG,25575168,25561909,21
MIR155,25574044,25573980,21
LINC00515,25583326,25582770,21
MRPL39,25607517,25585656,21
JAM2,25717562,25639272,21
RNGTTP1,25644216,25643489,21
FDX1P2,25692554,25692180,21
ATP5PF,25735673,25716503,21
GABPA,25772460,25734570,21
LLPHP2,25763333,25762938,21
APP,26171128,25880550,21
AP001442.1,25942686,25928754,21
RNU6-123P,25943145,25943044,21
AP001439.1,26175824,26158091,21
AP000229.1,26217381,26170871,21
RNU6-926P,26190813,26190707,21
AP001595.1,26350634,26349780,21
AP001596.1,26471698,26378552,21
CYYR1-AS1,26569252,26393635,21
AP001596.2,26460214,26459903,21
CYYR1,26573284,26466209,21
ADAMTS1,26845409,26835747,21
AP001599.1,26939742,26889376,21
ADAMTS5,26966513,26917912,21
MIR4759,26954043,26953961,21
GPX1P2,27143949,27143344,21
AP001605.1,27448579,27358885,21
AP001604.1,27395787,27361164,21
EIF4A1P1,27367947,27367014,21
RPL10P1,27421023,27420380,21
NCSTNP1,27492261,27492118,21
LINC01673,27653491,27638693,21
LINC00113,27751233,27722379,21
AJ006995.1,27985295,27954922,21
LINC00314,28023233,28013363,21
LINC01697,28137611,28048404,21
LINC01695,28228667,28116094,21
AF165147.1,28674848,28439346,21
LINC00161,28540355,28539318,21
RF00026,28743291,28743208,21
N6AMT1,28885371,28872191,21
HSPD1P7,28889272,28887280,21
THUMPD1P1,28903697,28901779,21
LTN1,28992956,28928144,21
RPL23P2,28998033,28997613,21
RWDD2B,29019378,29004384,21
AF129075.2,29024890,29024255,21
USP16,29054488,29024629,21
CCT8,29073797,29055805,21
AF129075.1,29060095,29058073,21
MAP3K7CL,29175889,29077471,21
RPL12P9,29128188,29127701,21
RF00019,29139384,29139283,21
RF00012,29180639,29180425,21
AF124730.1,29187795,29182027,21
LINC00189,29288205,29193480,21
BACH1,29630751,29194071,21
GAPDHP14,29223257,29222321,21
BACH1-IT1,29361894,29351634,21
AP000240.1,29359453,29359002,21
BACH1-AS1,29376339,29370019,21
BACH1-IT2,29373709,29370497,21
BACH1-IT3,29500386,29496047,21
GRIK1,29940033,29536933,21
AP000238.1,29657831,29657406,21
GRIK1-AS1,29764002,29748175,21
AF096876.1,30097836,30089717,21
CLDN17,30166756,30165564,21
LINC00307,30211783,30209151,21
CLDN8,30216073,30214006,21
RPL8P2,30263881,30263380,21
KRTAP24-1,30282958,30281309,21
KRTAP25-1,30289514,30289145,21
KRTAP26-1,30320316,30319124,21
KRTAP27-1,30337694,30337013,21
KRTAP23-1,30348609,30348399,21
KRTAP13-6P,30356885,30356515,21
KRTAP13-2,30372257,30371391,21
MIR4327,30375378,30375294,21
KRTAP13-1,30396822,30396074,21
KRTAP13-3,30425968,30425265,21
KRTAP13-4,30431026,30430230,21
KRTAP13-5P,30436964,30436466,21
KRTAP15-1,30440945,30440275,21
KRTAP19-1,30480344,30479699,21
KRTAP19-2,30487436,30487057,21
KRTAP19-3,30491985,30491464,21
KRTAP19-4,30497133,30496824,21
KRTAP19-5,30502117,30501657,21
KRTAP19-9P,30510497,30510307,21
KRTAP19-10P,30514799,30514613,21
AP000567.1,30526701,30526546,21
KRTAP19-11P,30537381,30537278,21
KRTAP19-6,30541864,30541535,21
KRTAP19-7,30561314,30560875,21
